text_clean,IsToxic
black white crime seem big topic ferguson case come brag finnish cop use firearm time last year time towards human time warn time kill wound animal million ppl gun per capita,0
heading read protester take far,0
muslim man anything mind peace want stir dissonance trouble among americans use racist accusation man goal,1
add another imbecile bunch reporter incompetent bastard,1
interviewer right guy show respect paramilitary police kill get away,1
dumb people,1
bassem think walmart hire holiday get job loser,1
teen face life prison pot brownie year old man get arrest feed poor police officer set free charge whatsoever kill teenager people see wrong,0
know sayin wow,0
yeah right white shoot black hell break lose black shot black protest maybe start protest black shotting black buy thier story,1
let steal convenience store let punch cop face get shoot time let get black people white apologist run around street set building fire fuck dirty gutter rat live welfare cause violence look rest black people live dirtie ebola plague ride continent lucky white country come cure dumb ass,1
dude fuck punk police,1
stupid arab police shoot apprehend lmao work attack,1
plain simple truth,0
lmfao dude take like hear talk know say smh,0
understand anger war answer,0
nuffinz,0
ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really choose pathetic man interview,1
motherfucker angry understand,1
let get straight present fact mass media beginning old legal aspect adult rob convince store criminal later flee seen aprehende police resist arrest altercation occur two police every case similar use force criminal kill killing court randomly select jury view evidence hear witness pertain case radom jury reach unanimous verdict guilty sorry protestor democracy,1
protestor work living get time,0
people would obey law like normal human would never happen winner,0
indictment move right along,0
act like animal get treat like animal,1
michael smerconish hack,0
sure totally look factual evidence trial like special treatment hey know happen,1
tellin fact steal swisher sweet value life admit racist quit bunch faggott bitch,1
proof black victim statistically cop kill white black yet white see necessary save life cost place like ferguson lose mind statistically murder black kill black white consist murderer race white enslave black first year european race start america later enslave african begin search north africa establish trade good native late white enslave first later table turn boy girl call karma statistically murder alone black despite make entire population despite white make population make murder white make welfare recipient black make seem extreme realize black consist whith white make mean individual black person time likely white use welfare,1
white man finish sentence america need wake truth murder,1
sure avoid get guy taxi cab,0
fuck media bassem right find something real investigate exaggerate want view money fuck selfish fuck people disgusting know bare nasty self,1
cnn youse guy far tell bad happen bad benefit care much money ellen well like rest careful put put russia careful kid,0
guy need grow,0
shoot apprehend easier say evidence present michael brown still attackin darren shoot twice people misconception like movie one gun shoot anywhere body disable attacker false belief case people still attack run shoot time god sake cent shoot time alive attack somthe pound person back hard say goin shoot apprehend michael brown copnducte like gentleman happen aggresive piece shit muslim shit head well fill rage answer anything progression come tolerance violence,1
brown daily killing non white white cop reality,0
guy hire idiot,1
guy moron,1
cnn touch close idiot people watch comedy report lol,1
bassem masri criminal thug psychopath credibility humanity need lock jail cell time rubber room straight jacket bassem get intellectually dishonest butt community,1
cnn joke,1
wonder police expect happen continually abuse kill people honestly expect public nothing lay back take let cop turn one massive street gang allow kill without consequence even rat cornered defend,1
want son death vain let burn bitch stupid fuck destroy livelihood peaceful protest fucking ass,1
guy hero,0
say sound spit arab expression,0
wow,0
think indecent unessacerry event one person shoot brown steal something intirely police officer fault,0
genuine failure leadership president united states nice town ferguson declare state emergency put martial law federal troop stuff town non resident push everyone know another riot president want offend black community want anyone else get shoot let burn baby burn seem real leader could way president sir fail reprehensibly accuse,1
anyone know irradiate commercial strawberry seed mine germinate,0
arabs hate black people isis sympathizer want call community nonsense,1
life understand people think mike brown martyr cause man criminal black people criminal absolutely white criminal hispanic criminal betcha situation exactly race reverse would issue,1
well,0
old mans way try forever well work look,0
wat sayin,0
without badge bitch half fuck police,1
arab piece shit act like get harrasse parent store yet act like get treat like black people lol people steal store moron piece shit,1
people like guy make america shake head nawamsain fuck,0
police brutality affect everyone black issue make black issue people black tend stop listen end racial profiling police fuck everyone police care color policeman fuck look youtube notice brutality discriminate stop racial bullshit want cop finally hold accountable powertripping action need realize play whole black black black card make people black feel less sympathetic every race issue,1
christians rock,0
good cnn anchor ever see,0
islamic terrorist insighting hatred violence disguise african citizen time american citizen realise true enemy islam black white people,1
fuck cnn corrupt demon worship fool,1
guy dumbass claim police hire thug take phone shoot round without evidence back claim,1
mike browns father buy get catch video say burn bitch reffering ferguson dude interviwing thug give air time,1
brown isuse excuse loot take people shit destroy neighborhood haa typical ghetto bullshit even hood ghetto bitch collect free rent govt fight govt occupy wall street faget nothing else clean highway,1
wtf guy get mug iphone ferguson video hilarious,0
trayvon martin michael brown common real reason behind riot one dare speak zimmerman case common factor race monger like sharpton cnn msnbc whip black community see racism racism injustice injustice give year two promise another zimmerman michael brown style case big question similar case rather face real root cause many problem suffer black americans poverty high crime high black black murder rate far easy turn blind eye point finger shout racism root cause black problem america racism root cause break black american family high number fatherless child grow single parent home government statistic reveal child bear fatherless home likely drop school likely history unemployment high chance poverty likely serve time prison list look fact black child grow fatherless home compare white child see number begin explain black poverty black crime high amongst black america black mother welfare comply dysfunctional gangster rap culture glorify promiscuity drug dealer abuse woman power gun see problem begin emerge reason death trayvon martin michael brown begin come clear black americans minority dying probably killing need say black culture violence finance welfare system conclusion like say another race base case soon latter fact never end long race monger like sharpton cnn msnbc continue promote idea racism rather disintegration black american family another ferguson around corner,0
many shot disable one man officer feel threatened call backup many shot one man continue threaten another transcript witness evidence release seem question unanswered answer pray involve might find peace terrible encounter aman,0
thought waste skin catch desert fps make popular guy free people allow party live bookend country rest libshit would justice know majority real americans despise every way know every day continue exist ying must yang motherjumper,1
wow hole make cnn interviewer seem reasonable balanced,1
never argue idiot,1
ratchet lol,0
stfu muslim piece shit cop fire ten round ass well still let cut head pour pig blood throat willing bet dirty fckn islamic bastard set fire even black,1
make song address ferguson issue today please listen thank tha big picture soundcloud listen tha big picture kool soundcloud,0
michael smerconish little bitch like subtly try insult guy guy laugh really show low cnn stoop garbage hole cnn become piece ass suck work michael smerconish guess wonder home watch cnn crap news network,1
thanksgiven christmas owner business loot stole burn good reason none year come people nothing except serve one burn may god mercy would,0
grand jury amd processor much power justice system amd connection police department sayin honestly,0
protect serve people like michael brown guy deserve kill cry,1
cop shoot white guy would riot since shoot black guy everyone seem think black look evidence skin color everyone always throw race card crap like,0
find amuse protester claim fight racism yet blind racism several report black people attack white people couple day ago report white man beat death hammer black teen louis yeah clearly racial intent fuck hypocrite,1
excellent medium slave wait speak get lose next tragedy travesty happen since thee origin usa body free thee illusion real thee struggle experience collision experiment psychological warfare attrition type always aware bait allow create helter skelter,0
michael brown rob store assault store owner fight police officer darren wilson police window officer gun shoot kill brown shirt say armed happen criminal activity regardless color skin linch mob mentality get way public pressure fact support browns activity day wonder brown want death suicide cop family could sue,1
fucking fuck even defend properly joke,1
wow think buy bullet proof vest shit black like everybody tryin shoot,1
black officer shoot white guy would fine black people racist,1
delusional moron anger justify mike indeed unjustly kill hand mike malicious person shooting justify rioting justify one know happen day riot take place basis assumption,1
omg terrorist isis undercover agent americans arrest,1
keep let real people get front camera truth tell pure form,0
criminal kid get shoot police almost everyday plus mike brown bad criminal record start fight,0
city full really really really dumb people try reason,1
county back middle east county,1
people get shoot everyday come one get attention,0
history mankind people color creed culture find way rise ash oppression self betterment self preservation except black please enlighten unknown phenomenon,1
fucking douche bag,1
cnn need hire man real american trouble,1
one feral hoodlum put rest long need fear thuggish behavior upset blame parent fail raise right provide proper supervision defective start either way sound like case quality control thank officer wilson job,1
government kill population,1
fake cnn,1
need get back basic savage riot protest use german shepard shoot animal,1
hell even interview guy idiot,1
god fuck love arab guy wise word seriously someone open eye world see thing rare world today big fucking amen guy wake fuck america,1
smerconish sir journalist journalist say claim interview object search min fame part interview speak direction want anything try defame person illegal definitively serve time back school truly obvious handle word mouth care critical enough authority would wait ton paper show know indeed run stop hand air get shoot multiple time doubt side happen witness say however investigative journalist ask people opinion superior get chair real reporting shame shame cnn hire professional,1
arab rap ahead bro lol getto,1
dude get knock phone steal ferguson,0
bassem masri uneducated idiot listen word come mouth sound like stupid little kid sorry please grow fuck learn law instead repeat freedom speech citizen ahead bro listen somebody shut guy,1
white child deserve future ten million non white flood white country every year decade mean white minority every country found black country remain majority black asian country remain majority asian white country affect genocide international law anti white call genocide call diversity diversity mean chase every last white child anti racist codeword anti white,1
bassem masri well say bro,0
guy idiot good lose already bozo,1
back period big mouth moron,1
muslim like spit white people bring muslim nggrs still wait big plasma cheap loot shop,1
yep muslim bitch,1
masri unemployed,1
wait area majority african americans make since majority people pull search arrest area would african american well,0
video liberal propaganda use far divide people fuel chaos ferguson stay tune trial fact decide evil white people source problem mean straight watch trial fox news cnn msnbc,0
ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword hate player hate game innocent little child walk street get shoot back blame parent must look individual case adult kind music listen kind video view role model environment affect enabler associate importantly accountable action unfortunately day choose wrong pathway fate rob store call shoplift heck might well call borrow without permission first crime probably many unrecorded catch negative action mike brown assault another human without consequence say play big deal childish get real folk riot loot attack threat nothing culture feel entitle use excuse propaganda find excuse commit crime name justice peace hand shoot please culture need stop pant ground pant ground look like fool pant ground hat turn sideways gold mouth look like fool pant ground let say race lack justice justice naturally street usually end tragedy result immature respect thug believe could use size intimidate probably school know street real parent around would call childish childish behavior behavior felonious criminal frank would probably cost life elsewhere different time real parent would state son wrong store clerk fact evidence show son assault officer pose threat officer shot fire may son rest peace action condone consequence due choice action unconditionally love son however also forgive officer apologize store clerk hope family people move learn action live dictate consequence positive negative would also like support alternate method event happen use non lethal weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable say lastly officer racist shoot without rhyme reason fact target black decide gun back front even though surrender peacefully hand raise would side support cause unfortunately evidence thus far support paragraph question would still reaction officer female question would still reaction officer black african american question would still reaction mike brown gun peer race question would still reaction mike brown white question would still end result death mike brown productive home work school run street people nothing world dangerous sincere ignorance conscientious stupidity martin luther king think safe say live dangerous time simple fact prove martin luther king quote unfortunately come race support lost cause people cry wolf please repost,1
people say black play victim accord comment fault elect offical racist white good thing missouri racist white folk point finger take punk bitch power goin back racism deport everyone else,1
protest convert riot majority people want fool politician play serious game common man take care everyone save humanity peace,0
bad testtube video ever inequality choice white flight via change demographic etc remain resident say vote put nominee city council meeting put grievance councilman etc besides supposedly post racial era america race leader matter btw title ask really cause riot seem account answer town lawbreaker,0
punk get blast reason cop shoot someone else would,1
lot people entire medium miss huge crucial point micheal brown even stop first place day happen officer say mike brown walk street day later rob convenience store despite fact owner say store never rob officer apparently fear life claim seriously injure altercation mike brown even though video show officer perfectly fine stand mike body hour shooting also mike body foot away officer mike apparently charge man police full shit see shit make either bigot fuck idiot,1
say black piece come bit stiff due repeat use african american,0
live louis scary,0
ferguson like american city prison resident feel mistreat discriminate subject illegall search seizure advice move country vast confident find somewhere great nation find place happy successful,0
believe correct word caucasian white let correct every regard great report though love video,0
france military teach could use lethal weapon use similar equal superior lethal weapon another defend use superior weapon never allow think noble french concept,0
perhaps start teach black law education important instead treat special snowflake,1
agree report certainly think event ferguson need investigate statistic support targeting particular race number stop search certainly explain away fact population region particular race give great opportunity someone stop likely race think analysis would need conduct make collation say race factor say statistic misleading need consider thoughtfully state support statement,0
funny doctor push drug legal even tho prescription drug abuse whereas minority get lock year marijuana know beneficial economy war drug start government still supply street day racial profiling stupid caucasian commit mass shooting see search mall movie theater school etc,0
imply ferguson black elect appoint official white mean majority people ferguson represent mostly black population happen vote support white official median income low whole population mostly black statistic,0
ridiculous liberal tripe mean divide along race class barrier even black refuse use word african american oppress local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stat result large black community black really need stop listen democrat preach win deck stack oppressive lifestyle never rise current condition cling liberal excuse color skin overall presentation,0
someone say way black people behave wonder ferguson shitty place black people fucking lazy say countless example life grandmother get black house nurse bitch nothing day grandmother complain agency send different woman black clean entire house hour mom work hospital nurse black worker constantly nothing lazy black people like one good friend black like like brother fuck expect get everything want ancestor slave well hitler kill ancestor see sag pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill require hold position household income tie previous point lazy lack skill low income job dropout rate school need take black people ferguson hold high pay job even graduate fuck high school bad healthcare tie low income money well doctor inequality enforcement give one completely unfair however look black officer frisk mostly black people well hmm interesting maybe,1
might wrong majority black community vote make sense inequality city government,0
something wrong voice,0
people fuck america american fucking hate,1
bill cosby cause,0
justice department audit ferguson police department find count excessive use police force african americans addition find email contain discriminatory language department computer federal government pursue criminal case ferguson police department wonder bob mcculloch try defend one,0
something wrong audio,0
flat racist say one race represent another equally majority black vote white people mean black vote vote good interest elect white official represent black voter put office,0
report inequality enforcement statistic find description question math please check teach basic algebra number proportional video scratch surface encourage supplemental research wish know,0
dislike white people offend think racism issue anymore think,1
come call black african americans european american white,0
idiot reporter survey percent black involve following gang activity shoplifting car jack robbery robbery assault teenage pregnancy,1
racism equally worthless full metal jacket,0
testtube please explain black get stop search white white get make population get search time black make population get search time pretty obvious white likely get search want explain far find someone team actually remember basic grade school math could wrong video seem already explain seriously enjoy watch channel bias strong one almost make want unsubscribe,0
majority people ferguson african american elect official african american mayor city council police chief elect official people community step fill role,0
least favorite test tube video far,0
hear billionaire fund organise riot fucken suck joke,1
please slow tell speed scully talk really quickly great video great information little fast,0
agree police action kill boy mean protest loot destroy neighbourhood stupid make people want support struggle,0
fucking savage protest sumthe real like government rob sendin kid elegal war laugh stock america congrat,1
come read racist comment lol,0
sure people protest actually protest believe people take advantage sad situation cause much chaos damage hurt community,0
need come togather,0
call peacefully protest burn car lol,0
section lady gentleman see black people misbehave wonder would happen everyone riot court decision way,1
dirtbag include cnn,1
protester throw stuff reporter,0
guy get hard,0
watch keep mutter shoot shoot pull trigger rubber bullet hurt like mfer,1
send france,0
fun fact live ammo gun rubber slug,0
fucking brain dead let nazi police scum bag take,1
dis furgusun unitid stateth murka retard start violent protest try pawn police state lie cop arrive,1
god bless police,0
usa land free baby hahahaha people live usa thankful everyday bad country earth,1
virginia,0
wow need get shit straight never weapon point one vid ready position due riot understandable course action one know anything,0
dumber people earth american,1
screw price crap think cool disrespect american flag,1
shoot first ask question later hahahahahaha,1
police army,0
shoot,1
true dictatorship let wait check coutrie start sanction government guess none country usa corrupted country world except russia china,1
point think cop point gun know tell something provoke,0
techno party,0
awesome job law enforcement send disrupt tear islamic extremist radical america thank,1
bad weapon discharge,1
obama show hos face city yet support sad,0
wait riot people stand boredly sidewalk guy gun middle traffic,0
police clean mess quick nice,1
find satisfying reason,1
confederation ill back,0
gun use rubber bullet stupid russian news channel,1
perfect police,0
protester suck,1
rocket launcher take care lightly armored vehicle lol,1
bad riot shotgun load live round,1
time test police gun fire fire,1
buy shoot usa copa,1
beautiful,1
kill protester,1
think guy profiting standoff care one side,0
blue life let matter send blm commie street,1
cop protester steal destroy thing solve shit,1
see impose gunlaw fact even machine gun people could anything police car body protection like tank want say,0
shit serve medium concoct story white cop kill innocent black teenager bullshit get black community arm burn shit story useless talk head get front camera least week see black white crime report news national attention federal involvement wtf black man need stand father stop look excuse fuck,1
video actually happen simply try smear young man image want rapper steal cigar nothing side video deserve death sentence also release new video officer wilson show injury show officer wilson truthful incident perhaps need wait detail post bias video post video make sure accurate mention friend criminal state brown give black white witness nothing incident state hand surrender wilson shoot,0
funny thing government trust judge fuck disgust,1
relevance marijuana autopsy show entry wound spread body close range spread would tight hit region likely chest area long range spread would disperse see report wound underside arm expose arm raise gesture peace hand empty away body pose plus powder burn body far away,0
know crazy actually come across video bitcoin try learn know look familiar take time look mike browns personal profile specifically soundcloud think guilty represent wrong light maybe steal still deserve die fact white people like continue insinuate ridiculous show clear lack empathy sympathy seem like animal think especially offensive look back video year later hip hop rnb black culture big thing medium still understand perspective say trayvon martin make lean video show ignorant truly well sprite fanta carbonated drink use make lean tea,1
stefan like standup darren wilson though side event lose integrity give clean chit consider incompetent ferguson police turn,0
typical mindset white people white people deserve say people like sean hannity feule fire prejudice racism let people influence want race war start marshall law,1
perform basic snatch grab robbery local convenience store turn strong arm robbery immigrant midget store clerk less minute later get light yahoo cop tell get fuck middle road proceed recognize fit description assailant come radio talk mutherfuckin karma steal shit warrant deadly force karma bitch fuck ability control direct measure decree mutherfucker put pant one leg time sure,1
sad watch youtube video get non biased report ferguson thank,0
dude sure seem know good bit smoking weed hmm accord clown black man somewhat gang side factual base photo justify murder unarmed human,1
injury cop get treat,0
wonder big crater thug brown make street meet final shot melon get sew blm truth fact shit kitchen get right direction toilet,1
stefan fan rep river,0
corrupt police harm safe defend self fight back shoot dead get ready cause catalyst fact city town government usa catalyst pot boil many year generation bring equalizer door step also purge feel effect,1
shocking truth come light,0
clearly racist shrill canadian vegatable plant live box ivory snow truly know nothing negro race,1
guy love guy spend minute telus roll blunt,0
taser gun need,0
molyneux sir dumb smart guy ever researcher research enitre history blackman america understand thing way detachted reality comical,1
yeah course college money come pel majority negros drop half way semester,0
white folk always ask would cop something could ruin career answer know get away know chief fellow cop cover know white folk asshole like make excuse slim none chance trial kind always acquit,0
black want respect speak act dress like huxtable family want treat prejudice speak act dress like know gangster steal thing act like street,1
leave information give police report ask info lie omission outright lie omit information stupid lawyer,1
micheal brown ask get think shoot black racist,0
dipshit care foot tall pound call backup use pepper spray use baton use taser wait backup use gun saying monkey blindfold hand tie behind back anyways preliminary autopsy show shoot time less lethal area execute gunshot wound head,1
deserve kill smoke weed like fighting throw gang sign allegedly steal cigar,0
great point thank try calmly dissect pray truth come handle truth,0
cell phone video show anymore get sorry message say private,0
publish aug truth still uncover know likely assume know entire story investigate feds investigate back year case think know time assume know answer look microscope misleading people,0
guess never anything wrong life accord analysis police right shoot six time make sure dead already dead proud officer tell everything hope child,0
look like medium come bogus clam cause division side thing question much people see truth government plan medium fuel,0
stephan watch quite first post truth henry kissinger would interested hear opinion man,0
intellectual mature approach case black man many old black man prison dead stick matrix truther struggle old man guide young male often encounter police without understand deal cop many role model come rapper advocate violence police deer catch headlight potential life death encounter racism many black people rant hate crime clearly assault store clerk indicate propensity violence wilson stop point finger address problem black teen lack male role model say black people need address alternative deal suspect victim non lethal weaponry deal encounter race start focus solution possible violent encounter alternative see progress police protest burn community retalitation police support theory brown product violent environment burn business solve problem police department counter productive hoax,0
freaking people still racist police still awful,1
get shoot time inside right arm palm hand hand surrender position consistent charge officer consistent eye witness account say surrender,0
great video although wish would focus shit police thing keep rioter supporter complete idiot,1
viral already view police,0
thug college black people always cry american indians see one cry,1
guy get high lot,0
michael brown person shoot week notice almost share something common,0
character matter armed kill hand damn could arrest kill fuck let get away murder kill boy steal cigar,0
bullshit good place live america completely liberal bad place live america overwhelmingly republican fact jack,1
internet trolling time high,0
want shoot hardly wait till one kid get trouble police get kill,1
another great video thank put one right away think thru usual sad young turk channel cliche everything without think make look like bunch hypocrite,0
blunt addiction tobacco blunt keep call another play race card,0
cop need give wide latitude self defense consider threat face incapacitate high chance execute dam gun noone seem care shit,1
since know never hold hand anyone raise hand show police ferguson racist scumbag watch count lot racist scumbag,1
drug,0
interesting informative,0
hoax,0
also love show picture brown angel tug,1
hear guy say policeman state year service officer die weapon one shoot execution style whatever fuck officer wilson let pound guy run big run fast assume take tell brown freeze shoot way tell,1
black young woman like stefan think need people like country,0
death white devil,1
major difference zimmerman case one shooter zimmerman name withhold take custody news medium able document zimmerman injury immediately case handle horribly lack immediate transparency even everything true question cover also community history police abuse miss video alleged abuse occur response medium peaceful protester also show complete lack understanding escalation unlike authority deal potential zimmerman looting riot case attack protester rather station near loot target protect business criminal always take opportunity distraction like storm blackout protest loot authority know know great propaganda protester see cause looting rather fail protect business also illustrate amendment valuable business owner depend protection get loot business owner depend right bear arm loot,0
michael brown positively identify assailant store suppose robbery darren wilson aware robbery time encounter clearly racist unsubscribe,0
need search youtube actual cnn doctor audio michaelbrown shooting cnn catch change evidence,0
informative really appreciate video,0
forgot add timeline suspect also assault owner store threaten,0
great video level head cogent fair unfortunately cognitive dissonance confirmation bias take hold whole discussion breath fresh air thank stefan,0
couple thing miss side argument firstly yes guy dead dead crime scene course cover body secondly officer seem call incident base multiple source odd addition make excuse strong armed robbery understand money weed need rob cigar regardless excuse getting shoot street even ignore eyewitness account assume lie shot blatantly excessive lastly admit rap law mention rap law thing come close smoke marijuana course legal state get fight teenager always,0
one part hard believe guy run officer shoot drug know would illicit type behavior pcp,0
crazy everyone like video actually watch video min video min long lol,0
update apologize fair report,0
honestly believe mike brown actually try take cops gun cop sit car would stupid think kid would charge someone point gun beast high high could mike store everything else easily epic fail sir make officer take toxicology test officer obviously scared use weapon per intimidate mike size officer know mike steal anything tell dispatcher know nothing shooting area get fact straight please,1
care mike brown bullshit clearly understand youtube guy racist dumb point hold little water full hate lie,1
police car far away body officer realy good shot assault wake believe delude start vid point medium portray gentle giant use similar tactic discredit ref pot make rap music guy make vid dad would leave town ever,0
focus happen officer confront brown lead death nothing else matter focus,0
dear grindahz aka pot call kettle black spelling list week whether weather way weigh ferguson stupid hypocrite stay tune grammar lesson punctuation lesson,0
one thug name brown rush cop frown six bullet later meet creator homie burn town,1
lmao read dude rap good part,0
stef agree fact case grey however realize cop getting catch act unjustified violence daily basis getting catch video writing narrative brutality thuggery public tolerate long police brutality record police dangerous necessary,0
watch zimmerman case video full shit smell hate seep bring rap music listen sound cloud nothing make charcter look foolish dangerous possible ever want respond fuck well much effort destroy mike brown character bring smoking habit nothing get shoot tone perfectly choose word use really make brown look like unstable look much detail trhu slay brown character,1
remember looting stealing black purely gain free good name mike brown yea right excuse steal pure simple good concise introspective steffan folk live grievance follow perfectly white guilt segment keep rollin,1
pant loot,0
call researcher plan examine fact yet mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop try pretend examine fact,1
bottom line michael brown drug addict criminal violent criminal anyone feel bad get kill unless criminal,1
want know shoot back front pretty much tell story shoot back none rest matter,0
hahahahaha molyneux recite rap lyric intense,0
deadly force fine line either side brutal winning,0
michael brown much research see opinion man dangerous enough rob store without weapon dangerous criminal anything gentle giant proof show brown attack wilson peace officer beginning race issue government medium create race issue attack constitutional right anything,0
think get bunch fact lean make skittle iced tea wilson know robbery video bunch poppy cock thank waste time,1
take medical cannabis guy like couple face book fighting page mean necessarily aggressive,0
lol trayvon online name nolimitnigga people get mad piece human trash like get shoot,1
brown arm two big muscular arm,0
time report brown approach officer officer engage young man brown run away officer report fire flight inconsistent would turn confront cop already hit one bullet might like black folk listen spin video give weight eye witness report video discredit dead young man,0
nicely,0
stefan molyneux wilson drive multifple story therefore deserve fair trial wilson law enforcer firm happen would good wilson speak truly respect officer talk public seem hide,0
people say cop justify new video witness say brown hand,0
big problem case much shooting michael brown militarize police response primarily peaceful protester police suppression medium coverage,0
yea fuck store clerk dare try job,1
info put mike brown nobody bring fact darrin wilson test positive illegal mood alter non prescription steroid post shoot toxicology test one also wonder info give grand jury doubtful,0
great vid,0
real question need ask would mike brown rush cop already draw weapon already shoot way answer show true color think black male would disregard life kill cop escalate punishment probation petty theft death penalty kill cop utterly absurd truly believe someone start college next week would sorry racist,0
year old another useless negro could barely pass inner city high school glad shoot dead street like dog,1
move think,0
