Text,CleanText,ProcessedText,IsToxic,split
"Thus, with a collapse of the USA, only two possibilities can be considered, whereby, with the one, it boils down to a dictatorship with evil reprisals, while the other possibility may be a new reconstruction, if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start. But whether this will actually occur, is currently extremely questionable, because presently, in a totalitarian manner, everything is directed towards interests which are economic, military, political and cultural – as well as towards that which is strict fundamentalist religious-sectarian – and based on enormous lies and devious, misanthropic, criminal and felonious machinations in every imaginable regard. This also means that the population of the USA is spied upon by the secret services and even severely within the neighbourhoods, and so forth, and, in every possible manner being restricted in its freedom, and this is in addition to the violence, as it emerges in some form or other, both openly and covertly.﻿",thus with a collapse of the usa only two possibilities can be considered whereby with the one it boils down to a dictatorship with evil reprisals while the other possibility may be a new reconstruction if people who are fundamentally conscious of their responsibilities attain government and really do everything to bring about an effective and valuable new start but whether this will actually occur is currently extremely questionable because presently in a totalitarian manner everything is directed towards interests which are economic military political and cultural as well as towards that which is strict fundamentalist religioussectarian and based on enormous lies and devious misanthropic criminal and felonious machinations in every imaginable regard this also means that the population of the usa is spied upon by the secret services and even severely within the neighbourhoods and so forth and in every possible manner being restricted in its freedom and this is in addition to the violence as it emerges in some form or other both openly and covertly,thus collapse usa two possibility considered whereby one boil dictatorship evil reprisal possibility may new reconstruction people fundamentally conscious responsibility attain government really everything bring effective valuable new start whether actually occur currently extremely questionable presently totalitarian manner everything directed towards interest economic military political cultural well towards strict fundamentalist religioussectarian based enormous lie devious misanthropic criminal felonious machination every imaginable regard also mean population usa spied upon secret service even severely within neighbourhood forth every possible manner restricted freedom addition violence emerges form openly covertly,0,train
"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. ",you actually can shout fire in a crowded theater christopher hitchens demonstrated this in his talk about free speech look it up the interviewee is correct cops serve the public not the other way around and it is consistent with serving that public that the police department represent that publics race and ethnicity in its ranks hire a bunch of big tough black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager,actually shout fire crowded theater christopher hitchens demonstrated talk free speech look interviewee correct cop serve public way around consistent serving public police department represent public race ethnicity rank hire bunch big tough black guy police department fewer black shot death puny white guy felt humiliated got bitch slapped teenager,1,train
"I think ,he kill him",i think he kill him,think kill,1,train
LEGALIZE MARIJUANA! Then problems will stop,legalize marijuana then problems will stop,legalize marijuana problem stop,0,train
1 word: Provocateur........,word provocateur,word provocateur,0,train
Lol. This is what happens when the greedy rich slime keep the masses uneducated & ignorant. Now deal with the stupid that you created. Trying to reason with the irrational is an exercise in futility. Get the popcorn ready bc it's about to boil over. If you fall for the talk you will fall just walking. ,lol this is what happens when the greedy rich slime keep the masses uneducated ignorant now deal with the stupid that you created trying to reason with the irrational is an exercise in futility get the popcorn ready bc its about to boil over if you fall for the talk you will fall just walking,lol happens greedy rich slime keep mass uneducated ignorant deal stupid created trying reason irrational exercise futility get popcorn ready bc boil fall talk fall walking,1,train
"The legal system is inherently racist, same as this CNN reporter",the legal system is inherently racist same as this cnn reporter,legal system inherently racist cnn reporter,1,train
He looks ready to cut heads off he must be a isis sympathizer and I'm going to say maybe 5% care about the issue at hand and other 95% just want to go loot stores and fuck shit up...,he looks ready to cut heads off he must be a isis sympathizer and im going to say maybe care about the issue at hand and other just want to go loot stores and fuck shit up,look ready cut head must isi sympathizer im going say maybe care issue hand want go loot store fuck shit,1,train
"lol, ""shoot to apprehend"". He is an idiot.",lol shoot to apprehend he is an idiot,lol shoot apprehend idiot,1,test
"This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs, Utah. I am just as much outraged by the Mike brown case. The murder that happened in Utah was just about the same deal. Cops are provided with non lethal weapons. The shooting in Utah unwarranted because he ran, don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then. He ran and was shot 6 times in the back. We know a large group of cops are corrupt and these murderers are nothing new. Though I have ran from the police many times when I was in my teens, cops just pursue and find him hiding some where. Not just put 6 bullets in the back ending a life. They said in some paper, Saratoga Springs has about 5% of black population.. I have been through there and I would say they were off by about 5%. ",this case has overshadowed the cops that murdered a kid with a fake sword in saratoga springs utah i am just as much outraged by the mike brown case the murder that happened in utah was just about the same deal cops are provided with non lethal weapons the shooting in utah unwarranted because he ran dont know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then he ran and was shot times in the back we know a large group of cops are corrupt and these murderers are nothing new though i have ran from the police many times when i was in my teens cops just pursue and find him hiding some where not just put bullets in the back ending a life they said in some paper saratoga springs has about of black population i have been through there and i would say they were off by about,case overshadowed cop murdered kid fake sword saratoga spring utah much outraged mike brown case murder happened utah deal cop provided non lethal weapon shooting utah unwarranted ran dont know ran lunged police fake sword taken opportunity immediate action right ran shot time back know large group cop corrupt murderer nothing new though ran police many time teen cop pursue find hiding put bullet back ending life said paper saratoga spring black population would say,0,train
This man is a zionist jew look at ypu can see the jewnesss in his face  cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee ,this man is a zionist jew look at ypu can see the jewnesss in his face cnn only employ zionist sympathisers and neocon racists and wolf blitzer is the emplpyeee,man zionist jew look ypu see jewnesss face cnn employ zionist sympathiser neocon racist wolf blitzer emplpyeee,1,train
"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",there is blood on the street but you are worried about words we are all getting very tired with the way mainstream media is treating us like idiots who will follow their condescending irrelevant distracting disparaging narrative step up cnn,blood street worried word getting tired way mainstream medium treating u like idiot follow condescending irrelevant distracting disparaging narrative step cnn,0,train
"stop being criminals and you wont get shot, that simple",stop being criminals and you wont get shot that simple,stop criminal wont get shot simple,1,train
I LIKE TURTLES!,i like turtles,like turtle,0,train
Massri needs an education.,massri needs an education,massri need education,1,train
CNN mother fuckers....fuck you peace of shit!,cnn mother fuckersfuck you peace of shit,cnn mother fuckersfuck peace shit,1,train
"Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..",hers my statement i think ali sheep butt fucker masri should take an ak and go fight in syria,statement think ali sheep butt fucker masri take ak go fight syria,1,train
Hahahahaha.  This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,hahahahaha this guy is ed bassmasters character always teste ed bassmaster has a semiretarded character who is crosseyed just like this guy,hahahahaha guy ed bassmasters character always teste ed bassmaster semiretarded character crosseyed like guy,1,test
How do these childish cops sleep at night ?,how do these childish cops sleep at night,childish cop sleep night,0,train
A completely idiot having his minutrs of fame,a completely idiot having his minutrs of fame,completely idiot minutrs fame,1,train
I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,i hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that theyre giving you,hope god guy still falling ol banana tailpipe bullshit news theyre giving,1,train
CNN is such Bullcrap!,cnn is such bullcrap,cnn bullcrap,1,train
"Alright. This entire case is crap. All of these people who are saying that white people are being racist, and calling them bad names is just as ""racist"", as you would like to call it, as us. There have been extensive investigations that prove that this boy's death was out of self defense. However, I am not defending the whole KKK thing. But, I am defending the helpless citizens of Ferguson. This boy died. I don't care if he was white or black. What I do care about is how the people in Ferguson are treating their town. If they really cared about this incident, they would hold memorials to express their feelings.This is not helping themselves get justice. What really matters is that this boy is dead. Something HAS been done about it. The Grand Jury has decided. Can it just be over?",alright this entire case is crap all of these people who are saying that white people are being racist and calling them bad names is just as racist as you would like to call it as us there have been extensive investigations that prove that this boys death was out of self defense however i am not defending the whole kkk thing but i am defending the helpless citizens of ferguson this boy died i dont care if he was white or black what i do care about is how the people in ferguson are treating their town if they really cared about this incident they would hold memorials to express their feelingsthis is not helping themselves get justice what really matters is that this boy is dead something has been done about it the grand jury has decided can it just be over,alright entire case crap people saying white people racist calling bad name racist would like call u extensive investigation prove boy death self defense however defending whole kkk thing defending helpless citizen ferguson boy died dont care white black care people ferguson treating town really cared incident would hold memorial express feelingsthis helping get justice really matter boy dead something done grand jury decided,0,train
This guy doesn't know what happened he didn't have his hands up,this guy doesnt know what happened he didnt have his hands up,guy doesnt know happened didnt hand,0,test
Ayy CNN are lookin like pussies ,ayy cnn are lookin like pussies,ayy cnn lookin like pussy,1,train
Smirconnish is the most even-handed guy in the world.  This guy Masri is an idiot.,smirconnish is the most evenhanded guy in the world this guy masri is an idiot,smirconnish evenhanded guy world guy masri idiot,1,train
"Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead""
Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh.
So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself?
BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.",masri is a total idiot i dont have to know the evidence i can just come to my own conclusions instead here is a clue dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh so what would masri do take brown out for a icecream as he is beating him into the ground and not defend himself btw browns momma and gramma violently assaulted some people who were selling tshirts in memory of brown and put two people in the hospital stole their money and trashed their shop and will probably be charged for it so we all know what sort of mentality brown was raised in and he was a thug wanna be who caused his own death,masri total idiot dont know evidence come conclusion instead clue dont attack cop try take gun rush finally get car wont get shot duhhh would masri take brown icecream beating ground defend btw brown momma gramma violently assaulted people selling tshirts memory brown put two people hospital stole money trashed shop probably charged know sort mentality brown raised thug wan na caused death,1,train
He had to take a break because Bassem was making too much sense for him to debate further. ,he had to take a break because bassem was making too much sense for him to debate further,take break bassem making much sense debate,0,train
"Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.",lets reverse the rolls black racist cops in rich white communitiesbut you cant prove there racist when a white man gets pissed off at this intolerable condition we unload several clips of high caliber ammo at point blank range for his audacity at questioning authority all americans need to be on full alert of this elitist agenda to set presidents of questioning authority the elitist upperclass is the problem prison culture cia drug cartels exporting jobs and importing cheap labor while the elitist get bailed out and support this corrupt system we can turn this around when we c get past the race issue the govt incites to divide the working class but you can hardly call it a working class because the govt put everyone out of work we are more of a homeless class let us not for get western history and the role big money plays in this clusterfuck designed to destroy a nation that is destroyed at this point we can get it back ask me how,let reverse roll black racist cop rich white communitiesbut cant prove racist white man get pissed intolerable condition unload several clip high caliber ammo point blank range audacity questioning authority american need full alert elitist agenda set president questioning authority elitist upperclass problem prison culture cia drug cartel exporting job importing cheap labor elitist get bailed support corrupt system turn around c get past race issue govt incites divide working class hardly call working class govt put everyone work homeless class let u get western history role big money play clusterfuck designed destroy nation destroyed point get back ask,1,train
This moron is talking about being peaceful?  Their burning the nation's flag idiot.  Even though that's what you are suppose to do when it's old so they have no knowledge.  They are babies making noise. ,this moron is talking about being peaceful their burning the nations flag idiot even though thats what you are suppose to do when its old so they have no knowledge they are babies making noise,moron talking peaceful burning nation flag idiot even though thats suppose old knowledge baby making noise,1,train
" This is a CIA agent provocateur operative to kick-start the riots of the New American Civil War. He's not African American but his rehearsed ""Ebonics"" is transparent.",this is a cia agent provocateur operative to kickstart the riots of the new american civil war hes not african american but his rehearsed ebonics is transparent,cia agent provocateur operative kickstart riot new american civil war he african american rehearsed ebonics transparent,0,train
Can someone shoot this black idiot too? That would make me giggle inside :),can someone shoot this black idiot too that would make me giggle inside,someone shoot black idiot would make giggle inside,1,train
You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!! ,you people are sick this man is speaking the truth and yall are just mad trying to justify why a young boy who did nothing was shot and killed smh yall are the devil and a disease to this earth ill be glad when the sun burns all your asses into extinction and we can have our planet back half animal half devil cave beasts,people sick man speaking truth yall mad trying justify young boy nothing shot killed smh yall devil disease earth ill glad sun burn ass extinction planet back half animal half devil cave beast,1,train
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,the world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,world changing im mad police id dam isi gon na come thats time kill faucks,1,test
"CNN is propaganda for the most part, and people let them hear it in Ferguson too.",cnn is propaganda for the most part and people let them hear it in ferguson too,cnn propaganda part people let hear ferguson,0,train
"What a waste of time talking to that idiot. ""You know what Im sayin."" ""I'll believe what I want to believe.""- Yup- hell with facts or evidence. Loser.",what a waste of time talking to that idiot you know what im sayin ill believe what i want to believe yup hell with facts or evidence loser,waste time talking idiot know im sayin ill believe want believe yup hell fact evidence loser,1,test
"News fucktards...........puppet players,,,,,all they are paid liars ",news fucktardspuppet playersall they are paid liars,news fucktardspuppet playersall paid liar,1,train
Bassem has the right to express himself....we have freedom of expression.....We all have that right....Its an amendment of the Constitution.....I dont think CNN is that competent after all.,bassem has the right to express himselfwe have freedom of expressionwe all have that rightits an amendment of the constitutioni dont think cnn is that competent after all,bassem right express himselfwe freedom expressionwe rightits amendment constitutioni dont think cnn competent,0,train
"does this guy riot before or after work? Orrrr, let me guess he fucks off all day doing nothing.",does this guy riot before or after work orrrr let me guess he fucks off all day doing nothing,guy riot work orrrr let guess fuck day nothing,1,test
Mr. Masri is 100% right couldn't say it any better myself.,mr masri is right couldnt say it any better myself,mr masri right couldnt say better,0,train
Can anyone tell me why it is racist if a white man shoots a black man? Is it not racist when black man shoots a white man? Why do these cases turn instantly into racist ones it makes no sense.,can anyone tell me why it is racist if a white man shoots a black man is it not racist when black man shoots a white man why do these cases turn instantly into racist ones it makes no sense,anyone tell racist white man shoot black man racist black man shoot white man case turn instantly racist one make sense,0,train
Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.,racial profiling and police intimidation he robbed a store and got killed as a result fucking excuses man black people shouldnt have to get arrested when they commit a strong arm robbery when black people get violent they shouldnt have to fear getting put down like an animal he actually said we shouldnt have to worry about warrants lol fucking piece of human garbage,racial profiling police intimidation robbed store got killed result fucking excuse man black people shouldnt get arrested commit strong arm robbery black people get violent shouldnt fear getting put like animal actually said shouldnt worry warrant lol fucking piece human garbage,1,train
Wrong Mother Fucker. No shoot to apprehend,wrong mother fucker no shoot to apprehend,wrong mother fucker shoot apprehend,1,train
"Black and white crimes seems to be big topic in us after Ferguson case. I just came here to brag about Finnish cops that used firearm 6 times last year, 2 time towards human, 2 times to warn 2 times to kill wounded animal. 5 million ppl here and 0,5 gun per capita.",black and white crimes seems to be big topic in us after ferguson case i just came here to brag about finnish cops that used firearm times last year time towards human times to warn times to kill wounded animal million ppl here and gun per capita,black white crime seems big topic u ferguson case came brag finnish cop used firearm time last year time towards human time warn time kill wounded animal million ppl gun per caput,0,test
"and the heading reads, When the protesters take it too far",and the heading reads when the protesters take it too far,heading read protester take far,0,test
This Muslim man does not have anything in mind of peace. He wants to stir up dissonance and trouble among Americans by using racist accusations . THAT IS HIS MAN GOAL.,this muslim man does not have anything in mind of peace he wants to stir up dissonance and trouble among americans by using racist accusations that is his man goal,muslim man anything mind peace want stir dissonance trouble among american using racist accusation man goal,1,test
"Add another imbecile to the bunch, reporter is a incompetent bastard",add another imbecile to the bunch reporter is a incompetent bastard,add another imbecile bunch reporter incompetent bastard,1,train
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,this interviewer is right this guy should show some respect to the paramilitary police that are killing and getting away with it ha,interviewer right guy show respect paramilitary police killing getting away ha,1,train
You all are some dumb as people,you all are some dumb as people,dumb people,1,train
bassem I think walmart is hiring for the holidays. get a job loser!!!,bassem i think walmart is hiring for the holidays get a job loser,bassem think walmart hiring holiday get job loser,1,train
Teen faces life in prison for pot brownies. 90 year old man gets arrested for feeding the poor. Police officer is set free with no charges whatsoever for killing a teenager. Don't you people see how wrong this is? ,teen faces life in prison for pot brownies year old man gets arrested for feeding the poor police officer is set free with no charges whatsoever for killing a teenager dont you people see how wrong this is,teen face life prison pot brownie year old man get arrested feeding poor police officer set free charge whatsoever killing teenager dont people see wrong,0,train
"""you know what I'm sayin""... wow",you know what im sayin wow,know im sayin wow,0,train
"YEah  You are right 1 white shot a  black all hell break  lose , black shot black no protest maybe if they start doing  protest on black shotting black , you can buy in thier story ,",yeah you are right white shot a black all hell break lose black shot black no protest maybe if they start doing protest on black shotting black you can buy in thier story,yeah right white shot black hell break lose black shot black protest maybe start protest black shotting black buy thier story,1,train
"Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.",lets steal from a convenience store then lets go and punch a cop in the face and get shot times then lets get all the black people and white apologists to run around the street setting buildings on fire fucking dirty gutter rats all living on welfare and causing violence just look where the rest of black people live on the dirties ebola plague ridden continent lucky white countries can come over and cure their dumb asses,let steal convenience store let go punch cop face get shot time let get black people white apologist run around street setting building fire fucking dirty gutter rat living welfare causing violence look rest black people live dirties ebola plague ridden continent lucky white country come cure dumb ass,1,train
I'm with this dude fuck the punk police ,im with this dude fuck the punk police,im dude fuck punk police,1,train
What a stupid arab. Police shoot to apprehend? Lmao That's not how it works when they are being attacked!,what a stupid arab police shoot to apprehend lmao thats not how it works when they are being attacked,stupid arab police shoot apprehend lmao thats work attacked,1,train
5:09 plain n simple truth,plain n simple truth,plain n simple truth,0,train
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying!  Smh,lmfao why is this dude taking like that i hear him talking but i dont know what hes saying smh,lmfao dude taking like hear talking dont know he saying smh,0,train
"I do understand their anger, but war is not the answer!",i do understand their anger but war is not the answer,understand anger war answer,0,train
Iz didn't do nuffinz!,iz didnt do nuffinz,iz didnt nuffinz,0,train
"What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview. ",what an ignorant coward full of emotion estrogen and apathy and where the hell did you come from fuckin racially ambiguous blackwashed loudmouth they really chose a pathetic man to interview,ignorant coward full emotion estrogen apathy hell come fuckin racially ambiguous blackwashed loudmouth really chose pathetic man interview,1,train
"That motherfucker was angry,and I understand why",that motherfucker was angryand i understand why,motherfucker angryand understand,1,test
Let's get this straight and present the facts as the mass media should have from the beginning. 18 yr old (by all legal aspects an adult) robs a convince store. The criminal later flees the seen and is aprehended by the police. Resists arrest and altercation occurs between the two. The police (as in every case similar to this uses force). Criminal is killed. The killing goes to court. A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case.  Radom jury reaches unanimous verdict of not guilty. Im sorry protestors I can't here over all this DEMOCRACY!,lets get this straight and present the facts as the mass media should have from the beginning yr old by all legal aspects an adult robs a convince store the criminal later flees the seen and is aprehended by the police resists arrest and altercation occurs between the two the police as in every case similar to this uses force criminal is killed the killing goes to court a randomly selected jury views all the evidence and hears out all witnesses which pertain to the case radom jury reaches unanimous verdict of not guilty im sorry protestors i cant here over all this democracy,let get straight present fact mass medium beginning yr old legal aspect adult robs convince store criminal later flees seen aprehended police resists arrest altercation occurs two police every case similar us force criminal killed killing go court randomly selected jury view evidence hears witness pertain case radom jury reach unanimous verdict guilty im sorry protestors cant democracy,1,test
Do any of these protestors work for a living??  where do they get the (time) to do all this....,do any of these protestors work for a living where do they get the time to do all this,protestors work living get time,0,train
"If people would obey the law, like normal human beings. This would never happen. <- WINNER",if people would obey the law like normal human beings this would never happen winner,people would obey law like normal human being would never happen winner,0,train
No indictment...moving right along.,no indictmentmoving right along,indictmentmoving right along,0,train
If you act like animals you get treated like animals,if you act like animals you get treated like animals,act like animal get treated like animal,1,train
 Michael Smerconish + Hack. ,michael smerconish hack,michael smerconish hack,0,train
